area	type	category	lat	lon
melchiorre	commerciale	farmacia	45.4948834	9.206843
melchiorre	commerciale	telefono pubblico	45.4972915	9.2083013
melchiorre	commerciale	farmacia	45.4870383	9.1976675
melchiorre	commerciale	ristorante	45.4887909	9.1966345
melchiorre	commerciale	farmacia	45.4897269	9.2016611
melchiorre	commerciale	banca	45.4891789	9.2003753
melchiorre	commerciale	cinema	45.4882431	9.1998057
melchiorre	commerciale	banca	45.487636	9.1984183
melchiorre	commerciale	banca	45.487319	9.1979609
melchiorre	commerciale	banca	45.49239	9.2040155
melchiorre	commerciale	gelataio	45.493857	9.2057637
melchiorre	commerciale	fermata bus tram	45.4899338	9.2007207
melchiorre	commerciale	fermata bus tram	45.4899527	9.2003243
melchiorre	commerciale	fermata bus tram	45.4887655	9.2002784
melchiorre	commerciale	fermata bus tram	45.4848189	9.1957022
melchiorre	commerciale	fermata bus tram	45.4853309	9.1959428
melchiorre	commerciale	fermata bus tram	45.490301	9.2018123
melchiorre	commerciale	fermata bus tram	45.4939033	9.2062948
melchiorre	commerciale	fermata bus tram	45.4864893	9.1976246
melchiorre	commerciale	fermata bus tram	45.4875799	9.1985794
melchiorre	commerciale	fermata bus tram	45.4972312	9.2082931
melchiorre	commerciale	fermata bus tram	45.4966866	9.2078604
melchiorre	commerciale	fermata bus tram	45.4912565	9.2031399
melchiorre	commerciale	fermata bus tram	45.4927054	9.2045978
melchiorre	commerciale	area gioco	45.4971993	9.2088144
melchiorre	commerciale	area gioco	45.4973064	9.2091309
melchiorre	commerciale	distributore automatico	45.4853207	9.1963631
melchiorre	commerciale	distributore automatico	45.4858807	9.1970018
melchiorre	commerciale	distributore automatico	45.4844782	9.1966284
melchiorre	commerciale	distributore automatico	45.4849818	9.1960553
melchiorre	commerciale	distributore automatico	45.4844683	9.1974546
melchiorre	commerciale	distributore automatico	45.4847296	9.1977932
melchiorre	commerciale	fast food	45.4867171	9.1983187
melchiorre	commerciale	ristorante	45.4866507	9.1984296
melchiorre	commerciale	fermata bus tram	45.4878656	9.1963036
melchiorre	commerciale	fermata bus tram	45.4876609	9.1970167
melchiorre	commerciale	banca	45.4841287	9.1969993
melchiorre	commerciale	banca	45.4840995	9.197162
melchiorre	commerciale	bar	45.4960869	9.2075908
melchiorre	commerciale	ristorante	45.4953223	9.2072361
melchiorre	commerciale	bar	45.4979248	9.2082287
melchiorre	commerciale	gelataio	45.4979805	9.2082468
melchiorre	commerciale	parcheggio	45.486669	9.196843
melchiorre	commerciale	fast food	45.4982561	9.208239
melchiorre	commerciale	banca	45.4944249	9.206325
melchiorre	commerciale	distributore automatico	45.4853889	9.1976552
melchiorre	commerciale	telefono pubblico	45.4846099	9.1956321
melchiorre	commerciale	fermata bus tram	45.4924785	9.2033746
melchiorre	commerciale	fermata bus tram	45.4922845	9.2036686
melchiorre	commerciale	fermata bus tram	45.4947589	9.2053731
melchiorre	commerciale	fermata bus tram	45.4943079	9.205974
melchiorre	commerciale	fermata bus tram	45.491822	9.2049951
melchiorre	commerciale	fermata bus tram	45.4995568	9.2091391
melchiorre	commerciale	fermata bus tram	45.4991124	9.2086485
melchiorre	commerciale	parcheggio	45.4886085	9.1964849
melchiorre	commerciale	bar	45.4862814	9.196275
melchiorre	commerciale	fast food	45.485854	9.1963227
melchiorre	commerciale	fast food	45.4877399	9.196022
melchiorre	commerciale	gelataio	45.4873008	9.1966502
melchiorre	commerciale	bar	45.4873334	9.1958412
melchiorre	commerciale	bar	45.4877151	9.1964112
melchiorre	commerciale	ristorante	45.4864615	9.1957816
melchiorre	commerciale	fast food	45.4875554	9.1958281
melchiorre	commerciale	posta	45.4866044	9.1966692
melchiorre	commerciale	banca	45.4886489	9.1996112
melchiorre	commerciale	fermata bus tram	45.4879417	9.1961228
melchiorre	commerciale	bar	45.4941529	9.2061316
melchiorre	commerciale	casella della posta	45.4941394	9.2061275
melchiorre	commerciale	fermata bus tram	45.4956379	9.207578
melchiorre	commerciale	fermata bus tram	45.4956414	9.2075164
melchiorre	commerciale	colonnina ricarica	45.4859262	9.1965321
melchiorre	commerciale	banca	45.498239	9.2085822
melchiorre	commerciale	bar	45.4975736	9.2086831
melchiorre	commerciale	panchina	45.488532	9.1962042
melchiorre	commerciale	bar	45.487374	9.1971057
melchiorre	commerciale	sindacato	45.4863581	9.1981887
melchiorre	commerciale	panchina	45.488544	9.1962608
melchiorre	commerciale	panchina	45.4886715	9.1963766
melchiorre	commerciale	panchina	45.4885669	9.196319
melchiorre	commerciale	fermata bus tram	45.4898833	9.200669
melchiorre	commerciale	bar	45.4894666	9.2005909
melchiorre	commerciale	bar	45.4959235	9.2100769
