area	type	category	lat	lon
centro	comunali	Amministrativo	45.469388	9.199607
centro	comunali	Amministrativo	45.465673	9.198767
centro	comunali	Amministrativo	45.468198	9.19961
centro	comunali	Amministrativo	45.463702	9.19766
centro	comunali	Amministrativo	45.456899	9.189564
centro	comunali	Amministrativo	45.457438	9.191587
centro	comunali	Amministrativo	45.457547	9.192463
centro	comunali	Amministrativo	45.458998	9.181766
centro	comunali	Amministrativo	45.457948	9.187494
centro	comunali	Amministrativo	45.457694	9.183208
centro	comunali	Amministrativo	45.458847	9.188995
centro	comunali	Amministrativo	45.462591	9.197454
centro	comunali	Attrezzature religiose	45.457696	9.184469
centro	comunali	Attrezzature religiose	45.461976	9.1967
centro	comunali	Attrezzature religiose	45.46973	9.193443
centro	comunali	Attrezzature religiose	45.468122	9.198368
centro	comunali	Attrezzature religiose	45.46973	9.193443
centro	comunali	Attrezzature religiose	45.461976	9.1967
centro	comunali	Attrezzature religiose	45.458436	9.192702
centro	comunali	Attrezzature religiose	45.461976	9.1967
centro	comunali	Attrezzature religiose	45.463028	9.19601
centro	comunali	Cultura	45.458326	9.17948
centro	comunali	Cultura	45.461976	9.1967
centro	comunali	Cultura	45.468122	9.198368
centro	comunali	Cultura	45.458847	9.188995
centro	comunali	Cultura	45.459723	9.194643
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.467739	9.199954
centro	comunali	Cultura	45.469632	9.195266
centro	comunali	Cultura	45.467059	9.19795
centro	comunali	Istruzione	45.457948	9.187494
centro	comunali	Istruzione	45.457696	9.184469
centro	comunali	Istruzione	45.471005	9.195794
centro	comunali	Istruzione	45.457021	9.186183
centro	comunali	Istruzione	45.457696	9.184469
centro	comunali	Istruzione	45.470626	9.195653
centro	comunali	Istruzione	45.459952	9.178213
centro	comunali	Istruzione	45.457694	9.183208
centro	comunali	Istruzione	45.456416	9.186546
centro	comunali	Istruzione	45.467772	9.198122
centro	comunali	Salute	45.464516	9.19898
centro	comunali	Salute	45.458847	9.188995
centro	comunali	Salute	45.458847	9.188995
centro	comunali	Salute	45.466972	9.199927
centro	comunali	Salute	45.463393	9.197751
centro	comunali	Salute	45.457021	9.186183
centro	comunali	Servizi Sociali	45.461976	9.1967
centro	comunali	Servizi Sociali	45.461976	9.1967
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.462482	9.196305
centro	comunali	Servizi Sociali	45.458847	9.188995
centro	comunali	Servizi Sociali	45.458847	9.188995
centro	comunali	Servizi Sociali	45.458847	9.188995
centro	comunali	Università e ricerca	45.467059	9.19795
centro	comunali	Università e ricerca	45.464516	9.19898
centro	comunali	Università e ricerca	45.459723	9.194643
centro	comunali	Università e ricerca	45.459723	9.194643
centro	comunali	Università e ricerca	45.459723	9.194643
centro	comunali	Amministrativo	45.473022	9.191673
centro	comunali	Amministrativo	45.477952	9.188261
centro	comunali	Amministrativo	45.473022	9.191673
centro	comunali	Amministrativo	45.472362	9.187615
centro	comunali	Amministrativo	45.477306	9.189584
centro	comunali	Attrezzature religiose	45.473413	9.188256
centro	comunali	Attrezzature religiose	45.478906	9.192155
centro	comunali	Cultura	45.478846	9.188991
centro	comunali	Cultura	45.479238	9.189197
centro	comunali	Cultura	45.473627	9.185786
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Cultura	45.478261	9.189117
centro	comunali	Cultura	45.472362	9.187615
centro	comunali	Istruzione	45.478906	9.192155
centro	comunali	Istruzione	45.47939	9.187642
centro	comunali	Istruzione	45.478906	9.192155
centro	comunali	Istruzione	45.479319	9.188843
centro	comunali	Istruzione	45.474363	9.189045
centro	comunali	Istruzione	45.473413	9.188256
centro	comunali	Istruzione	45.474363	9.189045
centro	comunali	Salute	45.478906	9.192155
centro	comunali	Salute	45.479314	9.191026
centro	comunali	Salute	45.478906	9.192155
centro	comunali	Salute	45.472679	9.189487
centro	comunali	Salute	45.472979	9.19529
centro	comunali	Salute	45.472579	9.185858
centro	comunali	Servizi Sociali	45.478846	9.188991
centro	comunali	Servizi Sociali	45.473413	9.188256
centro	comunali	Servizi Sociali	45.473413	9.188256
centro	comunali	Servizi Sociali	45.473413	9.188256
centro	comunali	Servizi Sociali	45.473413	9.188256
centro	comunali	Sicurezza e Protezione Civile	45.478906	9.192155
centro	comunali	Sicurezza e Protezione Civile	45.473236	9.192161
centro	comunali	Sport	45.477928	9.190903
centro	comunali	Sport	45.473413	9.188256
centro	comunali	Università e ricerca	45.472362	9.187615
